lon,lat,cat
-8.6814636,41.1681963,attraction
-8.6831986,41.1706073,information
-8.6845469,41.1702696,information
-8.6857671,41.1617595,viewpoint
-8.6794943,41.1665212,information
-8.6849943,41.160739,artwork
-8.6905223,41.1799787,artwork
-8.6850999,41.1695086,information
-8.6849296,41.1686841,information
-8.6869076,41.170619,information
-8.689516,41.1683984,information
-8.6893144,41.1693942,viewpoint
-8.68324,41.1583275,artwork
-8.6832737,41.158978,hostel
-8.6911588,41.1926063,viewpoint
-8.689052,41.186578,attraction
-8.683145,41.1875371,artwork
-8.6858514,41.1876017,artwork
-8.6858681,41.1878471,information
-8.6684791,41.1840587,artwork
-8.649721,41.1883459,hostel
-8.6509506,41.1815019,artwork
